insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Endeavor', 'EAT', 2866);
insert into cats (name, location, rack, mark) values ('GMC', 'Envoy', 'IKP', 3780);
insert into cats (name, location, rack, mark) values ('Bentley', 'Arnage', 'BSP', 4875);
insert into cats (name, location, rack, mark) values ('Dodge', 'Ram 3500 Club', 'GCN', 1350);
insert into cats (name, location, rack, mark) values ('Honda', 'S2000', 'LUA', 3275);
insert into cats (name, location, rack, mark) values ('Dodge', 'Grand Caravan', 'LXV', 2601);
insert into cats (name, location, rack, mark) values ('Lexus', 'ES', 'MUW', 2830);
insert into cats (name, location, rack, mark) values ('GMC', 'Yukon', 'MYW', 1095);
insert into cats (name, location, rack, mark) values ('Lincoln', 'Navigator', 'KNS', 3853);
insert into cats (name, location, rack, mark) values ('Cadillac', 'SRX', 'KME', 2985);
insert into cats (name, location, rack, mark) values ('Ford', 'Escort', 'PEQ', 2799);
insert into cats (name, location, rack, mark) values ('Cadillac', 'Fleetwood', 'EFD', 2075);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Colorado', 'WET', 2927);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'C-Class', 'MJL', 1011);
insert into cats (name, location, rack, mark) values ('Mazda', 'MX-6', 'DUJ', 3764);
insert into cats (name, location, rack, mark) values ('Nissan', 'Xterra', 'LVO', 2290);
insert into cats (name, location, rack, mark) values ('Dodge', 'Neon', 'NIS', 2351);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Golf', 'MIP', 2275);
insert into cats (name, location, rack, mark) values ('Acura', 'NSX', 'CPM', 1430);
insert into cats (name, location, rack, mark) values ('Ford', 'Econoline E150', 'LBH', 2709);
insert into cats (name, location, rack, mark) values ('Jeep', 'Wrangler', 'OLA', 2532);
insert into cats (name, location, rack, mark) values ('GMC', 'Savana 2500', 'SHZ', 3309);
insert into cats (name, location, rack, mark) values ('Mazda', 'Millenia', 'BFJ', 1999);
insert into cats (name, location, rack, mark) values ('Honda', 'Pilot', 'NRC', 1586);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Discovery', 'DNZ', 4522);
insert into cats (name, location, rack, mark) values ('Toyota', 'TundraMax', 'VRS', 1208);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Routan', 'LEM', 4885);
insert into cats (name, location, rack, mark) values ('Dodge', 'Intrepid', 'TYM', 1777);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Caprice Classic', 'NIP', 3113);
insert into cats (name, location, rack, mark) values ('Infiniti', 'QX', 'HME', 4111);
insert into cats (name, location, rack, mark) values ('Pontiac', 'G8', 'GRB', 2971);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Sidekick', 'UAB', 1182);
insert into cats (name, location, rack, mark) values ('Honda', 'Prelude', 'SLI', 3283);
insert into cats (name, location, rack, mark) values ('Ford', 'Escort', 'DBU', 4514);
insert into cats (name, location, rack, mark) values ('Buick', 'Park Avenue', 'SYD', 1002);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'S-Class', 'CXJ', 4013);
insert into cats (name, location, rack, mark) values ('Lexus', 'RX Hybrid', 'KEI', 2079);
insert into cats (name, location, rack, mark) values ('Honda', 'Prelude', 'QRF', 4566);
insert into cats (name, location, rack, mark) values ('Toyota', 'Land Cruiser', 'MSM', 4167);
insert into cats (name, location, rack, mark) values ('Hyundai', 'Scoupe', 'TQD', 3598);
insert into cats (name, location, rack, mark) values ('Kia', 'Sportage', 'VAN', 3320);
insert into cats (name, location, rack, mark) values ('Subaru', 'Legacy', 'BNJ', 1661);
insert into cats (name, location, rack, mark) values ('Plymouth', 'Laser', 'KGK', 4015);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Avalanche', 'LOY', 2509);
insert into cats (name, location, rack, mark) values ('Infiniti', 'Q', 'QMF', 3627);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Firebird', 'YRT', 3557);
insert into cats (name, location, rack, mark) values ('GMC', 'Acadia', 'ASL', 1628);
insert into cats (name, location, rack, mark) values ('BMW', 'M6', 'NON', 2681);
insert into cats (name, location, rack, mark) values ('Land Rover', 'Range Rover', 'YEY', 4440);
insert into cats (name, location, rack, mark) values ('Porsche', '928', 'BKB', 4543);
insert into cats (name, location, rack, mark) values ('Cadillac', 'Seville', 'RVD', 2635);
insert into cats (name, location, rack, mark) values ('Lincoln', 'Town Car', 'GTF', 3348);
insert into cats (name, location, rack, mark) values ('Jaguar', 'S-Type', 'RMB', 3366);
insert into cats (name, location, rack, mark) values ('Mercury', 'Sable', 'BJA', 1569);
insert into cats (name, location, rack, mark) values ('Chrysler', 'PT Cruiser', 'MLR', 4484);
insert into cats (name, location, rack, mark) values ('Suzuki', 'XL7', 'GEF', 2414);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Cobalt SS', 'CWT', 3458);
insert into cats (name, location, rack, mark) values ('Nissan', 'Maxima', 'WDR', 2970);
insert into cats (name, location, rack, mark) values ('Austin', 'Mini', 'IPE', 1957);
insert into cats (name, location, rack, mark) values ('Ferrari', '599 GTB Fiorano', 'CRP', 2151);
insert into cats (name, location, rack, mark) values ('Ford', 'Explorer', 'PWA', 3320);
insert into cats (name, location, rack, mark) values ('GMC', 'Sonoma', 'DVD', 2519);
insert into cats (name, location, rack, mark) values ('Pontiac', 'G5', 'MTQ', 3478);
insert into cats (name, location, rack, mark) values ('Saab', '9-3', 'PSD', 3451);
insert into cats (name, location, rack, mark) values ('Bentley', 'Azure', 'RNJ', 3857);
insert into cats (name, location, rack, mark) values ('Oldsmobile', 'Ciera', 'KAS', 3397);
insert into cats (name, location, rack, mark) values ('Dodge', 'Ram Van 3500', 'LYE', 2202);
insert into cats (name, location, rack, mark) values ('Mercury', 'Tracer', 'CBF', 3335);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Chariot', 'BUO', 4105);
insert into cats (name, location, rack, mark) values ('Ford', 'Mustang', 'BCF', 3484);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'R-Class', 'SAS', 2099);
insert into cats (name, location, rack, mark) values ('Dodge', 'Ram 2500 Club', 'DJO', 1805);
insert into cats (name, location, rack, mark) values ('Audi', 'S8', 'BQE', 3494);
insert into cats (name, location, rack, mark) values ('Pontiac', 'G6', 'TZM', 3344);
insert into cats (name, location, rack, mark) values ('Ford', 'E150', 'SIJ', 1522);
insert into cats (name, location, rack, mark) values ('Ford', 'E350', 'RKH', 1080);
insert into cats (name, location, rack, mark) values ('Subaru', 'Impreza', 'MQY', 4887);
insert into cats (name, location, rack, mark) values ('Buick', 'Coachbuilder', 'LFB', 4788);
insert into cats (name, location, rack, mark) values ('MINI', 'Cooper Clubman', 'TYN', 4661);
insert into cats (name, location, rack, mark) values ('BMW', '3 Series', 'PBE', 1920);
insert into cats (name, location, rack, mark) values ('Scion', 'xB', 'YXD', 1039);
insert into cats (name, location, rack, mark) values ('Nissan', 'Altima', 'MRE', 1780);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Camaro', 'BXG', 1857);
insert into cats (name, location, rack, mark) values ('Austin', 'Mini Cooper S', 'HWK', 1409);
insert into cats (name, location, rack, mark) values ('Acura', 'Integra', 'KOF', 1781);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Tahoe', 'ERD', 4936);
insert into cats (name, location, rack, mark) values ('Lexus', 'LS', 'KCB', 4624);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Jetta', 'GMU', 3808);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'APV', 'CXP', 3038);
insert into cats (name, location, rack, mark) values ('Dodge', 'Durango', 'AUR', 1948);
insert into cats (name, location, rack, mark) values ('Dodge', 'Viper', 'FRK', 5000);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Equator', 'VAS', 4392);
insert into cats (name, location, rack, mark) values ('Lincoln', 'Town Car', 'GDQ', 2712);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Passat', 'BYX', 2382);
insert into cats (name, location, rack, mark) values ('Cadillac', 'SRX', 'ZAR', 4177);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Express 2500', 'KUC', 1985);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Grand Am', 'KRP', 2655);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'GTO', 'WLH', 2688);
insert into cats (name, location, rack, mark) values ('Buick', 'Electra', 'NSI', 3736);
insert into cats (name, location, rack, mark) values ('Jeep', 'Commander', 'IFL', 2777);
insert into cats (name, location, rack, mark) values ('Dodge', 'Dakota', 'ZEM', 3649);
insert into cats (name, location, rack, mark) values ('Jaguar', 'S-Type', 'EVE', 2169);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Caprice Classic', 'VDP', 3725);
insert into cats (name, location, rack, mark) values ('Toyota', 'Prius Plug-in Hybrid', 'GSY', 1221);
insert into cats (name, location, rack, mark) values ('Oldsmobile', 'Cutlass Supreme', 'ENO', 3863);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Passat', 'CCC', 3707);
insert into cats (name, location, rack, mark) values ('Audi', 'S5', 'WRO', 4858);
insert into cats (name, location, rack, mark) values ('Dodge', 'Ram', 'LIS', 3437);
insert into cats (name, location, rack, mark) values ('Volvo', '850', 'ENB', 1574);
insert into cats (name, location, rack, mark) values ('GMC', 'Sierra 3500', 'FIH', 1133);
insert into cats (name, location, rack, mark) values ('Mercury', 'Lynx', 'DQA', 1456);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Corvette', 'KAP', 4953);
insert into cats (name, location, rack, mark) values ('Infiniti', 'G', 'SIN', 1654);
insert into cats (name, location, rack, mark) values ('Citroën', 'SM', 'AGG', 1937);
insert into cats (name, location, rack, mark) values ('Honda', 'Prelude', 'THO', 2326);
insert into cats (name, location, rack, mark) values ('Oldsmobile', 'Intrigue', 'PSL', 3669);
insert into cats (name, location, rack, mark) values ('Suzuki', 'SX4', 'PAJ', 2363);
insert into cats (name, location, rack, mark) values ('Scion', 'xD', 'HOT', 3587);
insert into cats (name, location, rack, mark) values ('Dodge', 'Durango', 'MTC', 2515);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Cavalier', 'TOX', 3751);
insert into cats (name, location, rack, mark) values ('Ford', 'Ranger', 'NYT', 4583);
insert into cats (name, location, rack, mark) values ('Chrysler', 'Town & Country', 'BVA', 4687);
insert into cats (name, location, rack, mark) values ('GMC', 'Sierra 3500', 'FAE', 4887);
insert into cats (name, location, rack, mark) values ('Geo', 'Storm', 'UBU', 1189);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Samurai', 'CNB', 4258);
insert into cats (name, location, rack, mark) values ('Mercury', 'Mountaineer', 'LIW', 3557);
insert into cats (name, location, rack, mark) values ('Toyota', 'Tacoma', 'EPS', 1665);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'E-Class', 'RBM', 4131);
insert into cats (name, location, rack, mark) values ('Audi', 'TT', 'VLG', 3128);
insert into cats (name, location, rack, mark) values ('Hummer', 'H3', 'HVG', 4780);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Blazer', 'TPH', 3332);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Camaro', 'AQM', 2412);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'S-Class', 'CBJ', 2127);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'G-Class', 'RSA', 2475);
insert into cats (name, location, rack, mark) values ('Dodge', 'Stratus', 'GHF', 2207);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Golf', 'UCT', 3947);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Equinox', 'SQT', 1139);
insert into cats (name, location, rack, mark) values ('Ferrari', 'California', 'KOS', 1861);
insert into cats (name, location, rack, mark) values ('Jaguar', 'S-Type', 'KTW', 1158);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'M-Class', 'PHT', 1997);
insert into cats (name, location, rack, mark) values ('Chevrolet', 'Tahoe', 'PWA', 1725);
insert into cats (name, location, rack, mark) values ('Lotus', 'Exige', 'KOR', 1190);
insert into cats (name, location, rack, mark) values ('Kia', 'Optima', 'CGZ', 3526);
insert into cats (name, location, rack, mark) values ('GMC', '3500', 'WKI', 1189);
insert into cats (name, location, rack, mark) values ('GMC', 'Sierra 1500', 'LYC', 4002);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'C-Class', 'PMS', 1377);
insert into cats (name, location, rack, mark) values ('Porsche', '944', 'TTB', 2954);
insert into cats (name, location, rack, mark) values ('Ford', 'E250', 'PYL', 2749);
insert into cats (name, location, rack, mark) values ('Ford', 'Expedition', 'HEW', 4295);
insert into cats (name, location, rack, mark) values ('Suzuki', 'Samurai', 'TUS', 1039);
insert into cats (name, location, rack, mark) values ('Ford', 'Edge', 'HZV', 1177);
insert into cats (name, location, rack, mark) values ('Mitsubishi', 'Pajero', 'SYI', 3441);
insert into cats (name, location, rack, mark) values ('GMC', 'Canyon', 'FOT', 1553);
insert into cats (name, location, rack, mark) values ('Volkswagen', 'Passat', 'SBL', 2533);
insert into cats (name, location, rack, mark) values ('Infiniti', 'Q', 'KFG', 2728);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Bonneville', 'HNH', 1315);
insert into cats (name, location, rack, mark) values ('Nissan', 'Murano', 'HTY', 1571);
insert into cats (name, location, rack, mark) values ('Pontiac', 'Grand Prix', 'COG', 1716);
insert into cats (name, location, rack, mark) values ('Eagle', 'Premier', 'CTP', 2741);
insert into cats (name, location, rack, mark) values ('Kia', 'Spectra', 'NDC', 3133);
insert into cats (name, location, rack, mark) values ('Jeep', 'Comanche', 'ART', 4496);
insert into cats (name, location, rack, mark) values ('BMW', 'M3', 'OVR', 4042);
insert into cats (name, location, rack, mark) values ('Suzuki', 'SJ', 'NGA', 2417);
insert into cats (name, location, rack, mark) values ('Jeep', 'Liberty', 'SJO', 3486);
insert into cats (name, location, rack, mark) values ('BMW', 'X5 M', 'COF', 4861);
insert into cats (name, location, rack, mark) values ('Toyota', 'RAV4', 'SXQ', 3852);
insert into cats (name, location, rack, mark) values ('Audi', '4000s', 'TYL', 4056);
insert into cats (name, location, rack, mark) values ('Buick', 'Lucerne', 'MRE', 4031);
insert into cats (name, location, rack, mark) values ('Mercedes-Benz', 'SLS-Class', 'BAU', 1568);
insert into cats (name, location, rack, mark) values ('Ford', 'Escort', 'DVT', 4974);
